date,hour,total_visitors,north_gate,south_gate,east_gate,west_gate,metro_ridership,bus_ridership,taxi_count,private_car_count,parking_occupancy_rate,nearby_hotel_avg_price,nearby_restaurant_revenue_index,weather_condition,temperature,is_event_day,event_type,year,month,quarter,weekday,is_weekend,north_gate_ratio,south_gate_ratio,public_transport_ratio,time_period
2016-01-01,16,185,33,65,51,38,73,35,20,27,0.36,268.0,55.7,阴,-0.6,False,演唱会,2016,1,1,4,False,0.1784,0.3514,0.5838,下午
2016-01-01,17,309,53,107,75,59,131,61,27,40,0.43,336.0,77.2,阴,-0.6,False,演唱会,2016,1,1,4,False,0.1715,0.3463,0.6214,晚高峰
2016-01-01,18,353,63,105,96,77,128,62,29,42,0.29,329.0,58.1,阴,-0.6,False,演唱会,2016,1,1,4,False,0.1785,0.2975,0.5382,晚高峰
2016-01-01,19,402,77,147,102,90,109,57,26,29,0.33,306.0,53.2,阴,-0.6,False,演唱会,2016,1,1,4,False,0.1915,0.3657,0.4129,晚高峰
2016-01-01,20,297,64,104,63,55,101,54,29,34,0.43,283.0,58.1,阴,-0.6,False,演唱会,2016,1,1,4,False,0.2155,0.3502,0.5219,晚间
2016-01-01,21,172,35,57,40,33,59,25,13,16,0.29,273.0,54.2,阴,-0.6,False,演唱会,2016,1,1,4,False,0.2035,0.3314,0.4884,晚间
2016-01-01,22,88,16,31,23,17,40,19,10,12,0.35,260.0,70.8,阴,-0.6,False,演唱会,2016,1,1,4,False,0.1818,0.3523,0.6705,晚间
2016-01-01,23,67,13,24,16,13,24,11,6,8,0.2,329.0,59.1,阴,-0.6,False,演唱会,2016,1,1,4,False,0.194,0.3582,0.5224,深夜
2016-01-02,6,114,24,41,27,24,38,18,8,14,0.2,297.0,62.4,晴,-2.3,False,演唱会,2016,1,1,5,True,0.2105,0.3596,0.4912,早高峰
2016-01-02,7,161,32,58,45,35,61,24,10,17,0.42,282.0,64.0,晴,-2.3,False,演唱会,2016,1,1,5,True,0.1988,0.3602,0.528,早高峰
2016-01-02,8,212,39,64,54,41,79,37,21,29,0.32,280.0,76.3,晴,-2.3,False,演唱会,2016,1,1,5,True,0.184,0.3019,0.5472,早高峰
2016-01-02,9,240,42,81,62,40,94,38,21,29,0.24,258.0,59.5,晴,-2.3,False,演唱会,2016,1,1,5,True,0.175,0.3375,0.55,上午
2016-01-02,10,380,78,132,97,77,109,63,32,44,0.32,315.0,67.2,晴,-2.3,False,演唱会,2016,1,1,5,True,0.2053,0.3474,0.4526,上午
2016-01-02,11,336,75,110,74,58,138,60,39,36,0.34,303.0,77.5,晴,-2.3,False,演唱会,2016,1,1,5,True,0.2232,0.3274,0.5893,上午
2016-01-02,12,378,85,118,101,78,128,50,27,50,0.35,328.0,64.2,晴,-2.3,False,演唱会,2016,1,1,5,True,0.2249,0.3122,0.4709,午间
2016-01-02,13,290,52,86,78,63,120,39,25,41,0.45,258.0,55.2,晴,-2.3,False,演唱会,2016,1,1,5,True,0.1793,0.2966,0.5483,午间
2016-01-02,14,379,79,122,103,67,142,52,34,39,0.33,309.0,64.8,晴,-2.3,False,演唱会,2016,1,1,5,True,0.2084,0.3219,0.5119,下午
2016-01-02,15,373,71,112,106,81,108,49,21,36,0.33,267.0,55.7,晴,-2.3,False,演唱会,2016,1,1,5,True,0.1903,0.3003,0.4209,下午
2016-01-02,16,387,73,125,103,82,140,57,27,37,0.38,267.0,64.2,晴,-2.3,False,演唱会,2016,1,1,5,True,0.1886,0.323,0.509,下午
2016-01-02,17,434,87,156,110,78,150,71,39,44,0.45,258.0,57.4,晴,-2.3,False,演唱会,2016,1,1,5,True,0.2005,0.3594,0.5092,晚高峰
2016-01-02,18,438,80,159,94,79,151,71,40,35,0.34,251.0,60.1,晴,-2.3,False,演唱会,2016,1,1,5,True,0.1826,0.363,0.5068,晚高峰
2016-01-02,19,656,129,205,160,119,222,86,68,73,0.41,315.0,69.2,晴,-2.3,False,演唱会,2016,1,1,5,True,0.1966,0.3125,0.4695,晚高峰
2016-01-02,20,467,79,169,111,82,174,84,36,52,0.42,278.0,55.7,晴,-2.3,False,演唱会,2016,1,1,5,True,0.1692,0.3619,0.5525,晚间
2016-01-02,21,213,47,66,50,42,97,34,26,21,0.24,332.0,65.3,晴,-2.3,False,演唱会,2016,1,1,5,True,0.2207,0.3099,0.615,晚间
2016-01-02,22,102,20,38,28,22,41,15,9,13,0.31,255.0,61.1,晴,-2.3,False,演唱会,2016,1,1,5,True,0.1961,0.3725,0.549,晚间
2016-01-02,23,61,11,19,14,10,21,8,6,9,0.2,269.0,76.6,晴,-2.3,False,演唱会,2016,1,1,5,True,0.1803,0.3115,0.4754,深夜
2016-01-03,6,88,15,34,25,19,39,16,10,9,0.3,305.0,74.7,大风,-6.7,False,演唱会,2016,1,1,6,True,0.1705,0.3864,0.625,早高峰
2016-01-03,7,158,34,54,42,36,54,20,12,19,0.3,285.0,65.7,大风,-6.7,False,演唱会,2016,1,1,6,True,0.2152,0.3418,0.4684,早高峰
2016-01-03,8,160,31,52,45,28,63,28,15,18,0.27,281.0,54.3,大风,-6.7,False,演唱会,2016,1,1,6,True,0.1938,0.325,0.5688,早高峰
2016-01-03,9,277,52,101,66,54,110,36,22,23,0.21,302.0,56.9,大风,-6.7,False,演唱会,2016,1,1,6,True,0.1877,0.3646,0.5271,上午
2016-01-03,10,245,54,86,54,42,72,33,19,17,0.36,284.0,64.1,大风,-6.7,False,演唱会,2016,1,1,6,True,0.2204,0.351,0.4286,上午
2016-01-03,11,390,74,122,108,71,135,58,36,31,0.29,260.0,66.1,大风,-6.7,False,演唱会,2016,1,1,6,True,0.1897,0.3128,0.4949,上午
2016-01-03,12,319,67,94,69,62,151,70,30,29,0.27,308.0,55.5,大风,-6.7,False,演唱会,2016,1,1,6,True,0.21,0.2947,0.6928,午间
2016-01-03,13,274,47,95,62,48,89,40,26,22,0.4,251.0,63.5,大风,-6.7,False,演唱会,2016,1,1,6,True,0.1715,0.3467,0.4708,午间
2016-01-03,14,308,70,110,69,61,104,37,25,25,0.39,301.0,54.0,大风,-6.7,False,演唱会,2016,1,1,6,True,0.2273,0.3571,0.4578,下午
2016-01-03,15,344,71,113,74,71,130,37,20,47,0.45,251.0,70.6,大风,-6.7,False,演唱会,2016,1,1,6,True,0.2064,0.3285,0.4855,下午
2016-01-03,16,265,56,103,58,48,65,24,21,20,0.32,318.0,64.9,大风,-6.7,False,演唱会,2016,1,1,6,True,0.2113,0.3887,0.3358,下午
2016-01-03,17,338,57,120,74,72,114,48,28,28,0.26,324.0,52.3,大风,-6.7,False,演唱会,2016,1,1,6,True,0.1686,0.355,0.4793,晚高峰
2016-01-03,18,347,71,133,83,72,108,56,36,52,0.2,307.0,62.8,大风,-6.7,False,演唱会,2016,1,1,6,True,0.2046,0.3833,0.4726,晚高峰
2016-01-03,19,399,82,123,96,74,133,52,33,34,0.36,324.0,57.8,大风,-6.7,False,演唱会,2016,1,1,6,True,0.2055,0.3083,0.4637,晚高峰
2016-01-03,20,399,83,142,95,83,110,49,19,36,0.37,315.0,54.9,大风,-6.7,False,演唱会,2016,1,1,6,True,0.208,0.3559,0.3985,晚间
2016-01-03,21,237,48,79,54,48,97,44,21,28,0.27,311.0,61.3,大风,-6.7,False,演唱会,2016,1,1,6,True,0.2025,0.3333,0.5949,晚间
2016-01-03,22,87,16,33,23,16,30,11,6,8,0.22,307.0,67.6,大风,-6.7,False,演唱会,2016,1,1,6,True,0.1839,0.3793,0.4713,晚间
2016-01-03,23,52,10,19,11,10,21,6,3,6,0.39,273.0,66.8,大风,-6.7,False,演唱会,2016,1,1,6,True,0.1923,0.3654,0.5192,深夜
2016-01-04,6,170,33,52,45,38,56,17,12,14,0.4555904362035874,451.0,152.6,晴,-6.3,True,商业活动,2016,1,1,0,False,0.1941,0.3059,0.4294,早高峰
2016-01-04,7,366,82,130,91,69,143,72,28,39,0.532839783637939,395.0,103.9,晴,-6.3,True,商业活动,2016,1,1,0,False,0.224,0.3552,0.5874,早高峰
2016-01-04,8,301,60,91,75,68,128,54,26,53,0.4661416755593941,364.0,112.1,晴,-6.3,True,商业活动,2016,1,1,0,False,0.1993,0.3023,0.6047,早高峰
2016-01-04,9,319,65,104,87,54,111,53,21,34,0.6392387708922105,382.0,88.4,晴,-6.3,True,商业活动,2016,1,1,0,False,0.2038,0.326,0.5141,上午
2016-01-04,10,268,61,85,75,48,117,37,28,30,0.498824788886071,490.0,137.4,晴,-6.3,True,商业活动,2016,1,1,0,False,0.2276,0.3172,0.5746,上午
2016-01-04,11,365,82,110,77,71,124,49,36,45,0.466140115591819,498.0,119.9,晴,-6.3,True,商业活动,2016,1,1,0,False,0.2247,0.3014,0.474,上午
2016-01-04,12,411,74,124,97,73,162,53,26,58,0.3343913089183789,528.0,165.7,晴,-6.3,True,商业活动,2016,1,1,0,False,0.18,0.3017,0.5231,午间
2016-01-04,13,374,79,120,85,75,122,46,40,55,0.6000449016987051,591.0,125.4,晴,-6.3,True,商业活动,2016,1,1,0,False,0.2112,0.3209,0.4492,午间
2016-01-04,14,366,71,119,87,73,123,39,27,41,0.5377635301741822,527.0,170.4,晴,-6.3,True,商业活动,2016,1,1,0,False,0.194,0.3251,0.4426,下午
2016-01-04,15,581,99,226,165,118,228,85,66,76,0.6403481356722112,594.0,109.7,晴,-6.3,True,商业活动,2016,1,1,0,False,0.1704,0.389,0.5387,下午
2016-01-04,16,744,151,294,203,156,233,112,57,94,0.6458654449140103,523.0,114.4,晴,-6.3,True,商业活动,2016,1,1,0,False,0.203,0.3952,0.4637,下午
2016-01-04,17,964,184,315,230,176,310,170,70,117,0.4575221120446475,519.0,160.1,晴,-6.3,True,商业活动,2016,1,1,0,False,0.1909,0.3268,0.4979,晚高峰
2016-01-04,18,1412,248,520,328,306,670,202,132,170,0.3562844961348851,527.0,141.0,晴,-6.3,True,商业活动,2016,1,1,0,False,0.1756,0.3683,0.6176,晚高峰
2016-01-04,19,1851,388,736,475,321,759,261,168,153,0.4455883671127057,416.0,145.6,晴,-6.3,True,商业活动,2016,1,1,0,False,0.2096,0.3976,0.5511,晚高峰
2016-01-04,20,1041,228,347,287,238,307,120,97,83,0.4165717846760703,395.0,175.3,晴,-6.3,True,商业活动,2016,1,1,0,False,0.219,0.3333,0.4102,晚间
2016-01-04,21,401,82,146,107,80,148,66,31,40,0.479094284967221,459.0,140.6,晴,-6.3,True,商业活动,2016,1,1,0,False,0.2045,0.3641,0.5337,晚间
2016-01-04,22,172,35,61,41,33,63,34,20,23,0.7225895056708977,556.0,99.8,晴,-6.3,True,商业活动,2016,1,1,0,False,0.2035,0.3547,0.564,晚间
2016-01-04,23,95,19,30,26,18,35,14,6,10,0.6313819068357188,479.0,102.6,晴,-6.3,True,商业活动,2016,1,1,0,False,0.2,0.3158,0.5158,深夜
2016-01-05,6,92,19,28,24,20,34,13,8,15,0.43,280.0,72.3,晴,-3.7,False,演唱会,2016,1,1,1,False,0.2065,0.3043,0.5109,早高峰
2016-01-05,7,189,35,72,43,36,59,29,14,13,0.26,298.0,67.2,晴,-3.7,False,演唱会,2016,1,1,1,False,0.1852,0.381,0.4656,早高峰
2016-01-05,8,200,34,75,56,40,87,34,20,28,0.26,300.0,73.9,晴,-3.7,False,演唱会,2016,1,1,1,False,0.17,0.375,0.605,早高峰
2016-01-05,9,149,33,54,36,30,56,21,15,16,0.37,336.0,55.8,晴,-3.7,False,演唱会,2016,1,1,1,False,0.2215,0.3624,0.5168,上午
2016-01-05,10,142,25,54,36,32,50,19,14,18,0.24,260.0,66.7,晴,-3.7,False,演唱会,2016,1,1,1,False,0.1761,0.3803,0.4859,上午
2016-01-05,11,106,23,40,28,18,31,16,6,8,0.23,308.0,68.8,晴,-3.7,False,演唱会,2016,1,1,1,False,0.217,0.3774,0.4434,上午
2016-01-05,12,136,26,49,33,28,57,24,15,21,0.3,264.0,73.3,晴,-3.7,False,演唱会,2016,1,1,1,False,0.1912,0.3603,0.5956,午间
2016-01-05,13,115,25,34,32,23,43,23,9,12,0.21,331.0,63.9,晴,-3.7,False,演唱会,2016,1,1,1,False,0.2174,0.2957,0.5739,午间
2016-01-05,14,139,29,54,36,28,57,19,9,12,0.29,292.0,68.0,晴,-3.7,False,演唱会,2016,1,1,1,False,0.2086,0.3885,0.5468,下午
2016-01-05,15,192,36,72,48,35,81,24,17,15,0.28,303.0,73.9,晴,-3.7,False,演唱会,2016,1,1,1,False,0.1875,0.375,0.5469,下午
2016-01-05,16,212,41,83,49,45,83,36,22,19,0.37,313.0,71.3,晴,-3.7,False,演唱会,2016,1,1,1,False,0.1934,0.3915,0.5613,下午
2016-01-05,17,260,44,84,61,57,91,54,20,31,0.25,324.0,71.5,晴,-3.7,False,演唱会,2016,1,1,1,False,0.1692,0.3231,0.5577,晚高峰
2016-01-05,18,305,64,96,73,58,108,44,20,25,0.2,279.0,65.7,晴,-3.7,False,演唱会,2016,1,1,1,False,0.2098,0.3148,0.4984,晚高峰
2016-01-05,19,355,75,120,83,80,110,45,23,29,0.27,324.0,71.9,晴,-3.7,False,演唱会,2016,1,1,1,False,0.2113,0.338,0.4366,晚高峰
2016-01-05,20,348,68,122,80,60,115,37,20,30,0.29,283.0,55.1,晴,-3.7,False,演唱会,2016,1,1,1,False,0.1954,0.3506,0.4368,晚间
2016-01-05,21,144,26,43,34,25,53,21,10,14,0.26,335.0,73.7,晴,-3.7,False,演唱会,2016,1,1,1,False,0.1806,0.2986,0.5139,晚间
2016-01-05,22,78,16,25,17,16,22,10,5,9,0.4,317.0,61.2,晴,-3.7,False,演唱会,2016,1,1,1,False,0.2051,0.3205,0.4103,晚间
2016-01-05,23,52,11,20,12,11,14,5,3,5,0.28,328.0,66.2,晴,-3.7,False,演唱会,2016,1,1,1,False,0.2115,0.3846,0.3654,深夜
2016-01-06,6,61,13,19,14,12,25,11,7,6,0.41,285.0,56.6,小雪,-3.3,False,演唱会,2016,1,1,2,False,0.2131,0.3115,0.5902,早高峰
2016-01-06,7,114,21,36,26,20,44,19,9,16,0.23,299.0,59.2,小雪,-3.3,False,演唱会,2016,1,1,2,False,0.1842,0.3158,0.5526,早高峰
2016-01-06,8,147,27,55,41,31,41,22,10,18,0.3,332.0,76.1,小雪,-3.3,False,演唱会,2016,1,1,2,False,0.1837,0.3741,0.4286,早高峰
2016-01-06,9,129,21,43,36,28,38,19,10,15,0.41,328.0,55.0,小雪,-3.3,False,演唱会,2016,1,1,2,False,0.1628,0.3333,0.4419,上午
2016-01-06,10,83,14,32,20,14,25,13,7,9,0.2,329.0,57.6,小雪,-3.3,False,演唱会,2016,1,1,2,False,0.1687,0.3855,0.4578,上午
2016-01-06,11,102,17,31,21,20,32,14,11,8,0.25,286.0,73.9,小雪,-3.3,False,演唱会,2016,1,1,2,False,0.1667,0.3039,0.451,上午
2016-01-06,12,109,25,36,26,19,37,18,8,12,0.42,313.0,56.0,小雪,-3.3,False,演唱会,2016,1,1,2,False,0.2294,0.3303,0.5046,午间
2016-01-06,13,101,20,31,24,18,38,12,6,9,0.44,314.0,52.5,小雪,-3.3,False,演唱会,2016,1,1,2,False,0.198,0.3069,0.495,午间
2016-01-06,14,93,17,33,22,21,29,13,8,8,0.37,275.0,63.3,小雪,-3.3,False,演唱会,2016,1,1,2,False,0.1828,0.3548,0.4516,下午
2016-01-06,15,141,32,52,33,30,35,18,8,16,0.31,286.0,69.6,小雪,-3.3,False,演唱会,2016,1,1,2,False,0.227,0.3688,0.3759,下午
2016-01-06,16,161,31,51,43,30,51,16,15,17,0.45,278.0,77.3,小雪,-3.3,False,演唱会,2016,1,1,2,False,0.1925,0.3168,0.4161,下午
2016-01-06,17,167,28,50,41,29,56,22,15,14,0.39,300.0,75.8,小雪,-3.3,False,演唱会,2016,1,1,2,False,0.1677,0.2994,0.4671,晚高峰
2016-01-06,18,230,52,82,65,39,98,29,22,33,0.34,254.0,70.0,小雪,-3.3,False,演唱会,2016,1,1,2,False,0.2261,0.3565,0.5522,晚高峰
2016-01-06,19,241,52,72,53,44,103,30,17,26,0.41,290.0,60.4,小雪,-3.3,False,演唱会,2016,1,1,2,False,0.2158,0.2988,0.5519,晚高峰
2016-01-06,20,249,46,84,59,54,112,42,25,24,0.39,301.0,75.5,小雪,-3.3,False,演唱会,2016,1,1,2,False,0.1847,0.3373,0.6185,晚间
2016-01-06,21,107,23,39,24,22,50,20,7,17,0.37,276.0,56.9,小雪,-3.3,False,演唱会,2016,1,1,2,False,0.215,0.3645,0.6542,晚间
2016-01-06,22,61,10,22,14,10,20,7,3,5,0.37,256.0,66.4,小雪,-3.3,False,演唱会,2016,1,1,2,False,0.1639,0.3607,0.4426,晚间
2016-01-06,23,41,7,13,9,7,12,6,2,5,0.41,316.0,60.0,小雪,-3.3,False,演唱会,2016,1,1,2,False,0.1707,0.3171,0.439,深夜
2016-01-07,6,113,21,44,31,25,44,20,8,11,0.38,275.0,71.6,晴,-4.9,False,演唱会,2016,1,1,3,False,0.1858,0.3894,0.5664,早高峰
2016-01-07,7,134,26,41,31,24,48,26,15,17,0.26,269.0,64.1,晴,-4.9,False,演唱会,2016,1,1,3,False,0.194,0.306,0.5522,早高峰
2016-01-07,8,156,31,62,34,31,73,32,18,18,0.43,331.0,64.9,晴,-4.9,False,演唱会,2016,1,1,3,False,0.1987,0.3974,0.6731,早高峰
2016-01-07,9,153,29,50,34,31,54,18,15,13,0.22,303.0,62.4,晴,-4.9,False,演唱会,2016,1,1,3,False,0.1895,0.3268,0.4706,上午
2016-01-07,10,107,20,40,27,20,34,16,8,12,0.33,312.0,75.3,晴,-4.9,False,演唱会,2016,1,1,3,False,0.1869,0.3738,0.4673,上午
2016-01-07,11,144,32,49,40,29,49,26,17,14,0.37,321.0,59.5,晴,-4.9,False,演唱会,2016,1,1,3,False,0.2222,0.3403,0.5208,上午
2016-01-07,12,156,31,54,33,27,43,17,12,15,0.39,255.0,64.6,晴,-4.9,False,演唱会,2016,1,1,3,False,0.1987,0.3462,0.3846,午间
2016-01-07,13,120,26,44,33,20,46,22,11,14,0.21,307.0,59.1,晴,-4.9,False,演唱会,2016,1,1,3,False,0.2167,0.3667,0.5667,午间
2016-01-07,14,105,18,41,25,23,50,22,13,11,0.23,305.0,64.7,晴,-4.9,False,演唱会,2016,1,1,3,False,0.1714,0.3905,0.6857,下午
2016-01-07,15,136,28,48,37,28,48,20,15,11,0.31,306.0,63.3,晴,-4.9,False,演唱会,2016,1,1,3,False,0.2059,0.3529,0.5,下午
2016-01-07,16,178,33,57,42,39,57,25,11,25,0.3,335.0,61.0,晴,-4.9,False,演唱会,2016,1,1,3,False,0.1854,0.3202,0.4607,下午
2016-01-07,17,294,54,89,63,60,94,47,19,26,0.41,292.0,73.5,晴,-4.9,False,演唱会,2016,1,1,3,False,0.1837,0.3027,0.4796,晚高峰
2016-01-07,18,308,59,97,86,68,126,63,29,39,0.41,264.0,57.7,晴,-4.9,False,演唱会,2016,1,1,3,False,0.1916,0.3149,0.6136,晚高峰
2016-01-07,19,361,78,121,86,83,112,54,35,27,0.36,252.0,65.7,晴,-4.9,False,演唱会,2016,1,1,3,False,0.2161,0.3352,0.4598,晚高峰
2016-01-07,20,293,55,101,82,62,128,38,25,49,0.36,335.0,56.1,晴,-4.9,False,演唱会,2016,1,1,3,False,0.1877,0.3447,0.5666,晚间
2016-01-07,21,149,28,49,34,29,52,18,15,17,0.34,289.0,75.1,晴,-4.9,False,演唱会,2016,1,1,3,False,0.1879,0.3289,0.4698,晚间
2016-01-07,22,99,22,34,23,18,35,16,7,12,0.4,308.0,64.5,晴,-4.9,False,演唱会,2016,1,1,3,False,0.2222,0.3434,0.5152,晚间
2016-01-07,23,77,14,23,21,14,26,9,5,8,0.22,266.0,71.9,晴,-4.9,False,演唱会,2016,1,1,3,False,0.1818,0.2987,0.4545,深夜
2016-01-08,6,83,16,32,20,16,28,15,7,7,0.23,263.0,75.2,小雪,-3.6,False,演唱会,2016,1,1,4,False,0.1928,0.3855,0.5181,早高峰
2016-01-08,7,145,27,47,33,31,51,20,13,14,0.37,303.0,73.6,小雪,-3.6,False,演唱会,2016,1,1,4,False,0.1862,0.3241,0.4897,早高峰
2016-01-08,8,165,33,60,46,37,52,21,18,14,0.25,269.0,67.6,小雪,-3.6,False,演唱会,2016,1,1,4,False,0.2,0.3636,0.4424,早高峰
2016-01-08,9,125,23,39,33,28,31,16,10,13,0.38,326.0,57.7,小雪,-3.6,False,演唱会,2016,1,1,4,False,0.184,0.312,0.376,上午
2016-01-08,10,82,16,31,21,18,34,10,5,12,0.25,251.0,75.7,小雪,-3.6,False,演唱会,2016,1,1,4,False,0.1951,0.378,0.5366,上午
2016-01-08,11,112,20,42,24,20,45,13,9,10,0.45,308.0,62.5,小雪,-3.6,False,演唱会,2016,1,1,4,False,0.1786,0.375,0.5179,上午
2016-01-08,12,101,20,36,27,18,41,16,9,13,0.44,313.0,67.0,小雪,-3.6,False,演唱会,2016,1,1,4,False,0.198,0.3564,0.5644,午间
2016-01-08,13,84,15,29,22,18,23,10,8,8,0.28,277.0,55.4,小雪,-3.6,False,演唱会,2016,1,1,4,False,0.1786,0.3452,0.3929,午间
2016-01-08,14,96,20,38,24,17,39,12,10,14,0.32,298.0,70.5,小雪,-3.6,False,演唱会,2016,1,1,4,False,0.2083,0.3958,0.5312,下午
2016-01-08,15,130,22,40,29,27,45,21,9,16,0.31,282.0,60.7,小雪,-3.6,False,演唱会,2016,1,1,4,False,0.1692,0.3077,0.5077,下午
2016-01-08,16,173,37,51,49,37,45,20,13,17,0.27,288.0,57.5,小雪,-3.6,False,演唱会,2016,1,1,4,False,0.2139,0.2948,0.3757,下午
2016-01-08,17,159,31,53,40,36,40,16,11,17,0.35,292.0,61.2,小雪,-3.6,False,演唱会,2016,1,1,4,False,0.195,0.3333,0.3522,晚高峰
2016-01-08,18,225,43,81,50,48,76,34,25,17,0.25,288.0,68.6,小雪,-3.6,False,演唱会,2016,1,1,4,False,0.1911,0.36,0.4889,晚高峰
2016-01-08,19,258,58,94,71,48,99,38,31,23,0.44,289.0,77.8,小雪,-3.6,False,演唱会,2016,1,1,4,False,0.2248,0.3643,0.531,晚高峰
2016-01-08,20,247,53,73,61,52,87,39,22,22,0.31,319.0,59.8,小雪,-3.6,False,演唱会,2016,1,1,4,False,0.2146,0.2955,0.5101,晚间
2016-01-08,21,118,26,35,30,25,49,21,8,14,0.4,257.0,52.3,小雪,-3.6,False,演唱会,2016,1,1,4,False,0.2203,0.2966,0.5932,晚间
2016-01-08,22,82,17,27,23,17,39,14,9,12,0.41,318.0,56.0,小雪,-3.6,False,演唱会,2016,1,1,4,False,0.2073,0.3293,0.6463,晚间
2016-01-08,23,43,7,16,11,8,17,5,2,4,0.43,318.0,61.5,小雪,-3.6,False,演唱会,2016,1,1,4,False,0.1628,0.3721,0.5116,深夜
2016-01-09,6,127,23,40,34,29,49,18,8,12,0.5514803808178079,509.0,132.1,大雪,-6.6,True,文化活动,2016,1,1,5,True,0.1811,0.315,0.5276,早高峰
2016-01-09,7,171,32,66,42,36,56,28,16,25,0.6617005053564458,373.0,130.7,大雪,-6.6,True,文化活动,2016,1,1,5,True,0.1871,0.386,0.4912,早高峰
2016-01-09,8,175,36,63,40,32,52,19,10,19,0.494042517098591,406.0,109.5,大雪,-6.6,True,文化活动,2016,1,1,5,True,0.2057,0.36,0.4057,早高峰
2016-01-09,9,177,31,70,38,40,75,36,13,17,0.4218254984795658,454.0,94.7,大雪,-6.6,True,文化活动,2016,1,1,5,True,0.1751,0.3955,0.6271,上午
2016-01-09,10,147,30,58,36,28,53,16,15,14,0.5563695362959582,596.0,108.5,大雪,-6.6,True,文化活动,2016,1,1,5,True,0.2041,0.3946,0.4694,上午
2016-01-09,11,153,29,48,38,32,56,17,8,17,0.8301579004545776,489.0,188.1,大雪,-6.6,True,文化活动,2016,1,1,5,True,0.1895,0.3137,0.4771,上午
2016-01-09,12,189,38,67,46,43,57,19,13,20,0.4411367410428093,620.0,119.7,大雪,-6.6,True,文化活动,2016,1,1,5,True,0.2011,0.3545,0.4021,午间
2016-01-09,13,212,45,81,48,44,53,27,12,14,0.6646151717892825,570.0,133.8,大雪,-6.6,True,文化活动,2016,1,1,5,True,0.2123,0.3821,0.3774,午间
2016-01-09,14,198,40,63,54,39,65,32,11,14,0.637466723786209,371.0,131.4,大雪,-6.6,True,文化活动,2016,1,1,5,True,0.202,0.3182,0.4899,下午
2016-01-09,15,274,61,103,78,54,92,25,22,17,0.7678980932703706,424.0,111.8,大雪,-6.6,True,文化活动,2016,1,1,5,True,0.2226,0.3759,0.427,下午
2016-01-09,16,285,59,95,67,56,91,47,30,27,0.4512606508462876,360.0,123.4,大雪,-6.6,True,文化活动,2016,1,1,5,True,0.207,0.3333,0.4842,下午
2016-01-09,17,380,86,124,106,68,152,50,42,60,0.447070829080341,507.0,116.7,大雪,-6.6,True,文化活动,2016,1,1,5,True,0.2263,0.3263,0.5316,晚高峰
2016-01-09,18,572,113,226,136,118,174,72,44,65,0.3750828035409277,524.0,157.3,大雪,-6.6,True,文化活动,2016,1,1,5,True,0.1976,0.3951,0.4301,晚高峰
2016-01-09,19,1057,194,338,277,191,399,159,85,164,0.5876065738143088,601.0,134.6,大雪,-6.6,True,文化活动,2016,1,1,5,True,0.1835,0.3198,0.5279,晚高峰
2016-01-09,20,748,142,286,206,139,274,86,71,59,0.704412948058716,441.0,110.6,大雪,-6.6,True,文化活动,2016,1,1,5,True,0.1898,0.3824,0.4813,晚间
2016-01-09,21,217,36,84,46,46,76,27,19,24,0.3885742801619062,343.0,87.4,大雪,-6.6,True,文化活动,2016,1,1,5,True,0.1659,0.3871,0.4747,晚间
