inspection_id,date,zone,equipment_name,equipment_type,health_score,status,last_maintenance_date,next_maintenance_date,anomaly_type,risk_level,temperature_reading,vibration_reading,power_consumption,estimated_lifespan_days,year,month,quarter,days_since_last_maintenance,days_to_next_maintenance,health_grade,has_anomaly
INS000052,2016-01-01,灯光区,主灯阵列,电气,90,正常,2015-07-20,2016-02-29,,低,58.0,1.7,48.1,1516,2016,1,1,165,59,优秀,False
INS000053,2016-01-01,灯光区,追光灯,电气,81,正常,2015-07-25,2016-02-18,,低,57.2,1.36,56.7,1535,2016,1,1,160,48,良好,False
INS000054,2016-01-01,灯光区,灯光控制台,控制,76,正常,2015-08-11,2016-02-20,,低,40.7,2.35,11.6,909,2016,1,1,143,50,良好,False
INS000055,2016-01-01,灯光区,配电柜,电气,88,正常,2015-09-07,2016-02-21,,低,55.6,-0.0,37.2,1981,2016,1,1,116,51,良好,False
INS000056,2016-01-01,灯光区,散热系统,暖通,77,正常,2015-07-19,2016-03-10,,低,54.2,2.14,97.3,1604,2016,1,1,166,69,良好,False
INS000057,2016-01-01,灯光区,特效灯,电气,81,正常,2015-10-19,2016-02-23,,低,63.0,2.3,46.3,1444,2016,1,1,74,53,良好,False
INS000058,2016-01-01,灯光区,激光投影,电气,93,正常,2015-08-02,2016-02-25,,低,41.5,4.04,60.3,2465,2016,1,1,152,55,优秀,False
INS000059,2016-01-01,灯光区,灯光桁架,结构,95,正常,2015-07-07,2016-03-19,,低,28.7,1.07,41.0,3606,2016,1,1,178,78,优秀,False
INS000060,2016-01-01,灯光区,调光器,电气,83,正常,2015-11-15,2016-02-16,,低,44.9,2.22,57.6,2359,2016,1,1,47,46,良好,False
INS000061,2016-01-01,灯光区,信号放大器,通信,80,正常,2015-10-17,2016-02-02,,低,22.1,1.7,9.4,885,2016,1,1,76,32,良好,False
INS000062,2016-01-01,音响区,主扩音箱,电气,95,正常,2015-11-12,2016-03-09,,低,61.3,0.01,63.3,2551,2016,1,1,50,68,优秀,False
INS000063,2016-01-01,音响区,低音炮阵列,电气,79,正常,2015-09-09,2016-03-18,,低,46.4,1.77,39.6,1247,2016,1,1,114,77,良好,False
INS000064,2016-01-01,音响区,调音台,控制,90,正常,2015-08-19,2016-02-11,,低,28.9,1.99,4.6,1281,2016,1,1,135,41,优秀,False
INS000065,2016-01-01,音响区,无线麦克风,通信,93,正常,2015-10-28,2016-02-03,,低,31.6,3.27,28.2,1057,2016,1,1,65,33,优秀,False
INS000066,2016-01-01,音响区,功放系统,电气,80,正常,2015-07-26,2016-02-10,,低,44.0,0.98,59.4,1874,2016,1,1,159,40,良好,False
INS000067,2016-01-01,音响区,音频处理器,控制,68,预警,2015-09-07,2016-02-19,,低,32.8,3.17,24.6,742,2016,1,1,116,49,一般,False
INS000068,2016-01-01,音响区,返听音箱,电气,84,正常,2015-07-10,2016-03-26,,低,66.8,2.29,40.0,2291,2016,1,1,175,85,良好,False
INS000069,2016-01-01,音响区,信号分配器,通信,84,正常,2015-09-01,2016-02-20,,低,17.3,2.76,4.9,670,2016,1,1,122,50,良好,False
INS000070,2016-01-01,音响区,录音系统,控制,82,正常,2015-10-29,2016-03-20,,低,33.5,2.22,23.9,1126,2016,1,1,64,79,良好,False
INS000071,2016-01-01,音响区,降噪系统,电气,82,正常,2015-10-13,2016-03-17,,低,60.3,2.79,54.4,2277,2016,1,1,80,76,良好,False
INS000072,2016-01-01,安防区,视频监控,安防,76,正常,2015-11-04,2016-03-21,,低,33.5,3.24,27.0,865,2016,1,1,58,80,良好,False
INS000073,2016-01-01,安防区,门禁系统,安防,87,正常,2015-11-05,2016-02-25,,低,26.5,0.96,15.5,1269,2016,1,1,57,55,良好,False
INS000074,2016-01-01,安防区,X光安检机,安防,87,正常,2015-10-23,2016-02-20,,低,34.2,3.04,42.6,971,2016,1,1,70,50,良好,False
INS000075,2016-01-01,安防区,金属探测器,安防,83,正常,2015-08-27,2016-02-28,,低,33.9,2.19,31.0,963,2016,1,1,127,58,良好,False
INS000076,2016-01-01,安防区,报警系统,安防,82,正常,2015-10-11,2016-03-02,,低,25.0,0.77,43.4,1260,2016,1,1,82,61,良好,False
INS000077,2016-01-01,安防区,人脸识别终端,安防,84,正常,2015-08-06,2016-02-02,,低,20.8,2.06,16.3,1278,2016,1,1,148,32,良好,False
INS000078,2016-01-01,安防区,巡更系统,安防,88,正常,2015-11-12,2016-03-22,,低,19.9,2.73,57.0,1319,2016,1,1,50,81,良好,False
INS000079,2016-01-01,安防区,对讲系统,通信,83,正常,2015-08-10,2016-03-07,,低,25.6,2.05,38.2,908,2016,1,1,144,66,良好,False
INS000080,2016-01-01,安防区,防入侵传感器,安防,84,正常,2015-07-20,2016-03-17,,低,23.9,1.34,35.3,1340,2016,1,1,165,76,良好,False
INS000081,2016-01-01,安防区,安防控制台,控制,68,预警,2015-08-15,2016-02-20,,低,23.6,1.9,12.4,1086,2016,1,1,139,50,一般,False
INS000082,2016-01-01,消防区,火灾报警器,消防,96,正常,2015-08-05,2016-03-04,,低,38.7,1.75,9.7,2025,2016,1,1,149,63,优秀,False
INS000083,2016-01-01,消防区,自动喷淋,消防,85,正常,2015-11-13,2016-02-14,,低,19.3,3.28,40.2,2103,2016,1,1,49,44,良好,False
INS000084,2016-01-01,消防区,消防水泵,机械,70,正常,2015-10-15,2016-02-03,,低,65.3,5.53,36.6,755,2016,1,1,78,33,良好,False
INS000085,2016-01-01,消防区,排烟风机,暖通,85,正常,2015-08-19,2016-03-27,,低,47.4,3.53,82.2,1626,2016,1,1,135,86,良好,False
INS000086,2016-01-01,消防区,灭火器组,消防,90,正常,2015-07-29,2016-02-07,,低,26.5,2.48,29.1,2801,2016,1,1,156,37,优秀,False
INS000087,2016-01-01,消防区,气体灭火系统,消防,89,正常,2015-11-13,2016-03-18,,低,27.9,3.52,31.6,2945,2016,1,1,49,77,良好,False
INS000088,2016-01-01,消防区,消防广播,通信,84,正常,2015-08-08,2016-03-25,,低,33.1,0.35,46.9,1101,2016,1,1,146,84,良好,False
INS000089,2016-01-01,消防区,防火卷帘,结构,87,正常,2015-09-28,2016-02-06,,低,39.6,2.33,45.1,2558,2016,1,1,95,36,良好,False
INS000090,2016-01-01,消防区,消防电话,通信,79,正常,2015-09-26,2016-03-07,,低,39.9,2.13,43.8,630,2016,1,1,97,66,良好,False
INS000091,2016-01-01,消防区,应急照明,电气,91,正常,2015-11-16,2016-02-19,,低,60.0,0.9,48.5,2057,2016,1,1,46,49,优秀,False
INS000092,2016-01-01,电力区,主变压器,电气,88,正常,2015-07-14,2016-02-26,,低,65.8,1.83,54.8,1962,2016,1,1,171,56,良好,False
INS000093,2016-01-01,电力区,备用发电机,机械,87,正常,2015-09-21,2016-03-15,,低,65.4,4.97,58.9,1142,2016,1,1,102,74,良好,False
INS000094,2016-01-01,电力区,UPS电源,电气,86,正常,2015-08-10,2016-03-29,,低,54.9,2.33,83.1,1334,2016,1,1,144,88,良好,False
INS000095,2016-01-01,电力区,配电柜,电气,84,正常,2015-10-22,2016-03-25,,低,57.1,1.64,74.1,1876,2016,1,1,71,84,良好,False
INS000096,2016-01-01,电力区,电缆线路,电气,88,正常,2015-09-03,2016-03-21,,低,65.3,2.3,60.0,1520,2016,1,1,120,80,良好,False
INS000097,2016-01-01,电力区,稳压器,电气,88,正常,2015-08-29,2016-02-01,,低,56.1,1.49,42.7,1894,2016,1,1,125,31,良好,False
INS000098,2016-01-01,电力区,电容补偿柜,电气,88,正常,2015-11-08,2016-02-04,,低,45.5,2.03,66.8,1512,2016,1,1,54,34,良好,False
INS000099,2016-01-01,电力区,接地系统,电气,85,正常,2015-11-05,2016-03-08,,低,57.4,2.87,56.7,1609,2016,1,1,57,67,良好,False
INS000100,2016-01-01,电力区,电力监控,控制,87,正常,2015-10-13,2016-03-29,,低,24.3,1.97,17.4,1271,2016,1,1,80,88,良好,False
INS000101,2016-01-01,电力区,柴油储罐,机械,96,正常,2015-10-09,2016-02-09,,低,60.5,4.17,32.8,1136,2016,1,1,84,39,优秀,False
INS000102,2016-01-06,A区,座椅系统,结构,92,正常,2015-07-23,2016-02-18,,低,32.9,2.26,24.5,2730,2016,1,1,167,43,优秀,False
INS000103,2016-01-06,A区,空调机组,暖通,89,正常,2015-07-23,2016-03-26,,低,46.6,2.23,84.2,1752,2016,1,1,167,80,良好,False
INS000104,2016-01-06,A区,照明系统,电气,92,正常,2015-11-21,2016-03-02,,低,68.6,1.94,49.3,1971,2016,1,1,46,56,优秀,False
INS000105,2016-01-06,A区,消防喷淋,消防,80,正常,2015-08-05,2016-03-31,,低,25.9,1.8,8.3,2067,2016,1,1,154,85,良好,False
INS000106,2016-01-06,A区,监控摄像头,安防,85,正常,2015-09-11,2016-03-21,,低,31.4,2.21,9.6,995,2016,1,1,117,75,良好,False
INS000107,2016-01-06,A区,通风管道,暖通,77,正常,2015-10-21,2016-03-01,,低,66.8,3.79,74.2,1716,2016,1,1,77,55,良好,False
INS000108,2016-01-06,A区,应急照明,电气,83,正常,2015-10-28,2016-02-26,,低,67.2,1.52,43.7,1440,2016,1,1,70,51,良好,False
INS000109,2016-01-06,A区,排水系统,结构,100,正常,2015-10-23,2016-03-04,,低,19.5,2.09,26.1,2613,2016,1,1,75,58,优秀,False
INS000110,2016-01-06,A区,隔音墙板,结构,87,正常,2015-08-12,2016-03-12,,低,16.3,1.98,35.6,3048,2016,1,1,147,66,良好,False
INS000111,2016-01-06,A区,电子显示屏,电气,97,正常,2015-09-10,2016-03-19,,低,52.7,1.24,66.9,1761,2016,1,1,118,73,优秀,False
INS000112,2016-01-06,B区,座椅系统,结构,94,正常,2015-11-20,2016-02-29,,低,35.6,2.02,44.4,3347,2016,1,1,47,54,优秀,False
INS000113,2016-01-06,B区,空调机组,暖通,78,正常,2015-12-03,2016-03-01,,低,48.2,2.44,74.8,1601,2016,1,1,34,55,良好,False
INS000114,2016-01-06,B区,照明系统,电气,81,正常,2015-09-29,2016-03-14,,低,50.8,3.02,56.1,1468,2016,1,1,99,68,良好,False
INS000115,2016-01-06,B区,消防喷淋,消防,91,正常,2015-09-10,2016-02-27,,低,37.3,1.13,14.3,2153,2016,1,1,118,52,优秀,False
INS000116,2016-01-06,B区,监控摄像头,安防,92,正常,2015-09-08,2016-02-17,,低,30.4,3.63,23.3,1560,2016,1,1,120,42,优秀,False
INS000117,2016-01-06,B区,通风管道,暖通,85,正常,2015-07-17,2016-02-08,,低,31.9,2.98,86.6,1334,2016,1,1,173,33,良好,False
INS000118,2016-01-06,B区,应急照明,电气,83,正常,2015-11-05,2016-02-09,,低,60.2,2.09,74.1,1688,2016,1,1,62,34,良好,False
INS000119,2016-01-06,B区,排水系统,结构,91,正常,2015-11-10,2016-02-06,,低,34.4,1.78,25.5,2574,2016,1,1,57,31,优秀,False
INS000120,2016-01-06,B区,隔音墙板,结构,94,正常,2015-10-14,2016-02-08,,低,25.1,1.08,16.3,3244,2016,1,1,84,33,优秀,False
INS000121,2016-01-06,B区,电子显示屏,电气,94,正常,2015-11-17,2016-03-02,,低,45.5,3.29,61.0,1893,2016,1,1,50,56,优秀,False
INS000122,2016-01-06,C区,座椅系统,结构,90,正常,2015-09-28,2016-03-04,,低,32.2,2.23,7.4,2477,2016,1,1,100,58,优秀,False
INS000123,2016-01-06,C区,空调机组,暖通,82,正常,2015-09-13,2016-03-12,,低,50.7,3.3,53.7,1137,2016,1,1,115,66,良好,False
INS000124,2016-01-06,C区,照明系统,电气,88,正常,2015-08-01,2016-03-15,,低,61.7,1.32,62.8,1776,2016,1,1,158,69,良好,False
INS000125,2016-01-06,C区,消防喷淋,消防,91,正常,2015-11-19,2016-02-26,,低,40.2,2.32,33.1,2825,2016,1,1,48,51,优秀,False
INS000126,2016-01-06,C区,监控摄像头,安防,88,正常,2015-09-20,2016-03-09,,低,27.5,1.98,33.2,1527,2016,1,1,108,63,良好,False
INS000127,2016-01-06,C区,通风管道,暖通,100,正常,2015-12-03,2016-03-01,,低,50.4,2.49,82.6,2286,2016,1,1,34,55,优秀,False
INS000128,2016-01-06,C区,应急照明,电气,80,正常,2015-08-27,2016-03-07,,低,79.2,2.44,61.4,1448,2016,1,1,132,61,良好,False
INS000129,2016-01-06,C区,排水系统,结构,95,正常,2015-07-30,2016-02-23,,低,41.6,1.01,47.9,2830,2016,1,1,160,48,优秀,False
INS000130,2016-01-06,C区,隔音墙板,结构,91,正常,2015-10-27,2016-03-12,,低,27.6,0.75,51.4,3807,2016,1,1,71,66,优秀,False
INS000131,2016-01-06,C区,电子显示屏,电气,87,正常,2015-11-11,2016-03-18,,低,45.9,2.88,50.9,1369,2016,1,1,56,72,良好,False
INS000132,2016-01-06,VIP区,座椅系统,结构,93,正常,2015-10-04,2016-02-25,,低,45.3,1.84,13.5,2444,2016,1,1,94,50,优秀,False
INS000133,2016-01-06,VIP区,空调机组,暖通,86,正常,2015-08-15,2016-03-09,,低,51.4,3.86,70.7,2023,2016,1,1,144,63,良好,False
INS000134,2016-01-06,VIP区,照明系统,电气,89,正常,2015-11-27,2016-02-28,,低,40.7,3.05,79.3,2414,2016,1,1,40,53,良好,False
INS000135,2016-01-06,VIP区,消防喷淋,消防,93,正常,2015-10-16,2016-03-17,,低,23.3,1.11,19.6,2671,2016,1,1,82,71,优秀,False
INS000136,2016-01-06,VIP区,监控摄像头,安防,84,正常,2015-11-05,2016-03-05,,低,23.5,2.18,28.9,887,2016,1,1,62,59,良好,False
INS000137,2016-01-06,VIP区,电梯系统,运输,71,正常,2015-08-30,2016-02-15,,低,28.9,3.56,12.9,1171,2016,1,1,129,40,良好,False
INS000138,2016-01-06,VIP区,通风管道,暖通,86,正常,2015-10-22,2016-03-23,,低,47.4,2.62,73.2,1116,2016,1,1,76,77,良好,False
INS000139,2016-01-06,VIP区,应急照明,电气,88,正常,2015-11-03,2016-03-08,,低,69.2,3.09,40.7,2316,2016,1,1,64,62,良好,False
INS000140,2016-01-06,VIP区,排水系统,结构,86,正常,2015-08-07,2016-02-16,,低,40.3,2.04,14.2,3798,2016,1,1,152,41,良好,False
INS000141,2016-01-06,VIP区,电子显示屏,电气,86,正常,2015-11-18,2016-02-06,,低,45.6,2.92,39.7,1397,2016,1,1,49,31,良好,False
INS000142,2016-01-06,VIP区,贵宾接待系统,控制,82,正常,2015-11-28,2016-03-06,,低,40.5,2.86,50.7,1272,2016,1,1,39,60,良好,False
INS000143,2016-01-06,舞台区,液压升降台,机械,76,正常,2015-09-04,2016-03-11,,低,62.6,4.34,23.3,685,2016,1,1,124,65,良好,False
INS000144,2016-01-06,舞台区,舞台灯光,电气,93,正常,2015-11-09,2016-03-08,,低,58.1,1.34,76.7,1933,2016,1,1,58,62,优秀,False
INS000145,2016-01-06,舞台区,音响系统,电气,83,正常,2015-09-30,2016-03-16,,低,51.8,1.53,21.1,1933,2016,1,1,98,70,良好,False
INS000146,2016-01-06,舞台区,烟雾机,特效,100,正常,2015-07-17,2016-02-23,,低,37.5,1.57,30.4,939,2016,1,1,173,48,优秀,False
INS000147,2016-01-06,舞台区,吊挂系统,机械,77,正常,2015-11-30,2016-03-17,,低,51.9,4.13,12.7,657,2016,1,1,37,71,良好,False
INS000148,2016-01-06,舞台区,旋转舞台,机械,75,正常,2015-09-29,2016-03-21,,低,59.9,4.13,45.3,995,2016,1,1,99,75,良好,False
INS000149,2016-01-06,舞台区,LED地屏,电气,90,正常,2015-10-21,2016-04-01,,低,68.6,1.02,47.9,2270,2016,1,1,77,86,优秀,False
INS000150,2016-01-06,舞台区,舞台幕布,结构,88,正常,2015-09-27,2016-03-27,,低,32.6,1.96,14.4,3722,2016,1,1,101,81,良好,False
INS000151,2016-01-06,舞台区,线缆卷扬机,机械,100,正常,2015-09-28,2016-03-15,,低,71.8,4.63,34.6,1134,2016,1,1,100,69,优秀,False
INS000152,2016-01-06,舞台区,舞台监控,安防,83,正常,2015-09-10,2016-03-28,,低,20.7,2.2,70.1,1189,2016,1,1,118,82,良好,False
INS000153,2016-01-06,灯光区,主灯阵列,电气,88,正常,2015-08-08,2016-02-29,,低,68.5,2.21,59.3,2060,2016,1,1,151,54,良好,False
INS000154,2016-01-06,灯光区,追光灯,电气,92,正常,2015-11-05,2016-03-17,,低,56.5,1.7,63.0,1490,2016,1,1,62,71,优秀,False
INS000155,2016-01-06,灯光区,灯光控制台,控制,75,正常,2015-10-25,2016-03-28,,低,48.1,3.42,8.0,976,2016,1,1,73,82,良好,False
INS000156,2016-01-06,灯光区,配电柜,电气,91,正常,2015-11-08,2016-02-24,,低,59.4,1.36,55.5,2535,2016,1,1,59,49,优秀,False
INS000157,2016-01-06,灯光区,散热系统,暖通,88,正常,2015-09-07,2016-02-16,,低,35.6,2.01,68.7,1609,2016,1,1,121,41,良好,False
INS000158,2016-01-06,灯光区,特效灯,电气,80,正常,2015-10-22,2016-02-09,,低,41.1,2.28,44.2,1875,2016,1,1,76,34,良好,False
INS000159,2016-01-06,灯光区,激光投影,电气,81,正常,2015-08-14,2016-03-04,,低,67.1,1.56,40.8,1969,2016,1,1,145,58,良好,False
INS000160,2016-01-06,灯光区,灯光桁架,结构,89,正常,2015-11-28,2016-03-29,,低,21.2,2.19,23.8,2308,2016,1,1,39,83,良好,False
INS000161,2016-01-06,灯光区,调光器,电气,92,正常,2015-07-23,2016-04-04,,低,49.0,3.04,54.6,2090,2016,1,1,167,89,优秀,False
INS000162,2016-01-06,灯光区,信号放大器,通信,78,正常,2015-10-08,2016-02-25,,低,44.1,1.98,12.7,970,2016,1,1,90,50,良好,False
INS000163,2016-01-06,音响区,主扩音箱,电气,90,正常,2015-09-24,2016-02-08,,低,49.6,1.58,53.5,1767,2016,1,1,104,33,优秀,False
INS000164,2016-01-06,音响区,低音炮阵列,电气,86,正常,2015-09-15,2016-02-07,,低,53.2,2.38,63.9,1823,2016,1,1,113,32,良好,False
INS000165,2016-01-06,音响区,调音台,控制,88,正常,2015-07-29,2016-03-30,,低,31.9,0.58,33.0,1427,2016,1,1,161,84,良好,False
INS000166,2016-01-06,音响区,无线麦克风,通信,74,正常,2015-12-03,2016-03-11,,低,23.5,1.58,21.1,880,2016,1,1,34,65,良好,False
INS000167,2016-01-06,音响区,功放系统,电气,85,正常,2015-10-06,2016-03-09,,低,60.2,1.29,59.5,1524,2016,1,1,92,63,良好,False
INS000168,2016-01-06,音响区,音频处理器,控制,82,正常,2015-09-05,2016-03-29,,低,35.9,1.53,7.6,966,2016,1,1,123,83,良好,False
INS000169,2016-01-06,音响区,返听音箱,电气,78,正常,2015-08-21,2016-02-25,,低,63.7,1.9,66.8,1427,2016,1,1,138,50,良好,False
INS000170,2016-01-06,音响区,信号分配器,通信,90,正常,2015-10-11,2016-02-19,,低,16.5,0.22,32.6,973,2016,1,1,87,44,优秀,False
INS000171,2016-01-06,音响区,录音系统,控制,81,正常,2015-08-02,2016-02-24,,低,38.5,0.08,28.4,1042,2016,1,1,157,49,良好,False
INS000172,2016-01-06,音响区,降噪系统,电气,92,正常,2015-09-19,2016-03-11,,低,40.6,2.03,66.5,1636,2016,1,1,109,65,优秀,False
INS000173,2016-01-06,安防区,视频监控,安防,92,正常,2015-09-07,2016-03-03,,低,32.9,0.47,36.4,1598,2016,1,1,121,57,优秀,False
INS000174,2016-01-06,安防区,门禁系统,安防,79,正常,2015-07-19,2016-03-24,,低,38.5,2.84,29.2,875,2016,1,1,171,78,良好,False
INS000175,2016-01-06,安防区,X光安检机,安防,84,正常,2015-08-07,2016-03-04,,低,25.5,1.11,40.9,1287,2016,1,1,152,58,良好,False
