date,quarter,year,event_type,event_name,total_tickets,sold_tickets,avg_ticket_price,total_revenue,vip_revenue,merchandise_revenue,sponsor_revenue,month,sell_rate,revenue_per_ticket,vip_revenue_ratio,sponsor_revenue_ratio,is_weekend
2016-03-12,1,2016,商业活动,2016世界500强企业峰会,12090,9847,456.38,4493973.86,4653602.76,19166.58,1748525.35,3,0.8145,456.38,1.0355,0.3891,True
2016-03-17,1,2016,展览,国际文创博览会,36384,29728,162.52,4831394.56,661270.83,47740.03,871007.64,3,0.8171,162.52,0.1369,0.1803,False
2016-03-17,1,2016,体育赛事,中超联赛北京德比,53378,36466,413.96,15095465.36,1936950.06,118928.82,3629210.76,3,0.6832,413.96,0.1283,0.2404,False
2016-03-21,1,2016,文化活动,2016国潮音乐节,46984,40712,151.96,6186595.52,630267.42,82250.66,1351604.92,3,0.8665,151.96,0.1019,0.2185,False
2016-03-25,1,2016,体育赛事,中国足协杯决赛,46752,38399,450.46,17297213.54,6360445.05,157336.26,4478562.13,3,0.8213,450.46,0.3677,0.2589,False
2016-03-25,1,2016,展览,国际消费电子展,25137,14799,274.66,4064693.34,531869.08,59820.12,814388.43,3,0.5887,274.66,0.1309,0.2004,False
2016-03-25,1,2016,体育赛事,NBA中国赛北京站,56582,42571,584.12,24866572.52,6008490.98,292824.19,4059747.3,3,0.7524,584.12,0.2416,0.1633,False
2016-03-26,1,2016,体育赛事,2016NFL中国赛,59422,49041,305.83,14998209.03,1827641.44,111798.34,3576887.67,3,0.8253,305.83,0.1219,0.2385,True
2016-03-29,1,2016,体育赛事,2016NBA中国赛北京站,51927,39856,523.94,20882152.64,6267179.28,227503.53,5540821.54,3,0.7675,523.94,0.3001,0.2653,False
2016-04-01,2,2016,演唱会,张杰未LIVE巡演,36579,31705,743.44,23570765.2,5933885.22,479225.99,2314366.49,4,0.8668,743.44,0.2517,0.0982,False
2016-04-03,2,2016,文化活动,2016春节文化庙会,32159,27510,299.66,8243646.6,1001325.04,90172.62,1353036.48,4,0.8554,299.66,0.1215,0.1641,True
2016-04-05,2,2016,体育赛事,国际马术大师赛,72064,57718,279.7,16143724.6,6477526.12,87620.8,3092034.16,4,0.8009,279.7,0.4012,0.1915,False
2016-04-06,2,2016,演唱会,2016蔡依林Ugly Beauty巡演,46543,42360,1543.73,65392402.8,16224240.88,1391128.2,11085364.84,4,0.9101,1543.73,0.2481,0.1695,False
2016-04-06,2,2016,体育赛事,亚洲田径锦标赛,73851,52679,440.55,23207733.45,4270281.43,145651.44,5444412.75,4,0.7133,440.55,0.184,0.2346,False
2016-04-07,2,2016,体育赛事,2016意大利超级杯,66641,54466,640.48,34884383.68,6520551.38,305578.33,8303396.16,4,0.8173,640.48,0.1869,0.238,False
2016-04-08,2,2016,演唱会,2016李荣浩纵横四海巡演,64588,60001,893.7,53622893.7,19470068.17,1294349.07,4330232.93,4,0.929,893.7,0.3631,0.0808,False
2016-04-12,2,2016,展览,2016国际摄影大展,19045,13471,172.65,2325768.15,375668.74,27859.34,572211.43,4,0.7073,172.65,0.1615,0.246,False
2016-04-13,2,2016,演唱会,2016BLACKPINK世界巡演北京站,58427,53726,1193.79,64137561.54,25888535.53,1576752.87,9690880.76,4,0.9195,1193.79,0.4036,0.1511,False
2016-04-13,2,2016,演唱会,BTS巡演北京站,37904,35227,950.91,33497706.57,11354909.69,611494.65,4463868.98,4,0.9294,950.91,0.339,0.1333,False
2016-04-18,2,2016,展览,国际汽车展览会,17069,9985,188.66,1883770.1,340765.33,17080.13,434387.16,4,0.585,188.66,0.1809,0.2306,False
2016-04-19,2,2016,商业活动,2016国际商务大会,7330,5594,1999.88,11187328.72,8713537.06,41380.38,4576215.55,4,0.7632,1999.88,0.7789,0.4091,False
2016-04-23,2,2016,体育赛事,2016北京马拉松起点仪式,68996,51376,602.03,30929893.28,10895249.81,271517.06,6675032.89,4,0.7446,602.03,0.3523,0.2158,True
2016-04-23,2,2016,文化活动,2016鸟巢新年音乐会,36920,29014,538.25,15616785.5,2613326.19,225795.12,2738012.39,4,0.7859,538.25,0.1673,0.1753,True
2016-04-26,2,2016,体育赛事,2016NFL中国赛,77289,64982,598.56,38895625.92,9397505.34,250169.36,10000439.3,4,0.8408,598.56,0.2416,0.2571,False
2016-04-28,2,2016,体育赛事,2016亚洲田径锦标赛,54359,39526,644.62,25479250.12,3693267.73,256213.43,6573786.17,4,0.7271,644.62,0.145,0.258,False
2016-04-29,2,2016,体育赛事,2016国际马术大师赛,72786,66009,412.69,27241254.21,4891085.91,191111.22,6598990.6,4,0.9069,412.69,0.1795,0.2422,False
2016-04-30,2,2016,演唱会,周杰伦巡回演唱会,63652,61817,1308.15,80865908.55,45243358.97,1713880.33,7702793.51,4,0.9712,1308.15,0.5595,0.0953,True
2016-05-01,2,2016,体育赛事,北京马拉松起点仪式,81750,72873,336.0,24485328.0,3753924.49,154361.53,6748734.7,5,0.8914,336.0,0.1533,0.2756,True
2016-05-05,2,2016,展览,2016中国品牌日展览,19132,12436,189.48,2356373.28,424335.45,27012.19,389046.46,5,0.65,189.48,0.1801,0.1651,False
2016-05-06,2,2016,演唱会,2016毛不易小王巡演,47432,43878,885.0,38832030.0,9989225.31,859991.39,4184489.74,5,0.9251,885.0,0.2572,0.1078,False
2016-05-10,2,2016,文化活动,北京国际电影节开幕式,61646,47809,453.81,21696202.29,2894548.03,171164.6,4507744.33,5,0.7755,453.81,0.1334,0.2078,False
2016-05-14,2,2016,演唱会,2016蔡依林Ugly Beauty巡演,58050,53375,1340.69,71559328.75,33109704.7,954512.66,8117424.13,5,0.9195,1340.69,0.4627,0.1134,True
2016-05-16,2,2016,商业活动,2016企业年会盛典,5232,4087,2175.43,8890982.41,4515480.45,36540.7,2633641.99,5,0.7812,2175.43,0.5079,0.2962,False
2016-05-17,2,2016,演唱会,2016孙燕姿克卜勒巡演,71723,66155,1686.85,111593561.75,68139035.11,2214191.05,17931413.13,5,0.9224,1686.85,0.6106,0.1607,False
2016-05-18,2,2016,体育赛事,2016NFL中国赛,57382,35999,384.5,13841615.5,1648153.43,125699.74,2951221.81,5,0.6274,384.5,0.1191,0.2132,False
2016-05-18,2,2016,商业活动,2016金融峰会,9679,7994,1876.95,15004338.3,7885487.01,75727.77,5407705.11,5,0.8259,1876.95,0.5255,0.3604,False
2016-05-21,2,2016,展览,2016国际摄影大展,32425,19605,214.16,4198606.8,677318.81,62930.64,723552.23,5,0.6046,214.16,0.1613,0.1723,True
2016-05-21,2,2016,演唱会,2016张杰未LIVE巡演,43026,41609,1644.12,68410189.08,36246949.77,1291967.59,11048617.88,5,0.9671,1644.12,0.5298,0.1615,True
2016-05-22,2,2016,体育赛事,2016全国田径锦标赛,63079,38069,344.02,13096497.38,5229380.14,120250.62,3144174.73,5,0.6035,344.02,0.3993,0.2401,True
2016-05-23,2,2016,商业活动,2016科技产品首发仪式,19397,16184,1315.44,21289080.96,14889205.73,73483.2,8604986.6,5,0.8344,1315.44,0.6994,0.4042,False
2016-05-25,2,2016,商业活动,国际商务大会,15511,13110,2051.22,26891494.2,25646799.06,109574.82,6890585.77,5,0.8452,2051.22,0.9537,0.2562,False
2016-05-27,2,2016,体育赛事,北京马拉松起点仪式,75357,56650,462.3,26189295.0,5320830.08,260177.0,6278697.76,5,0.7518,462.3,0.2032,0.2397,False
2016-05-28,2,2016,演唱会,2016毛不易小王巡演,48341,44799,1167.25,52291632.75,19586268.31,720507.7,9152276.89,5,0.9267,1167.25,0.3746,0.175,True
2016-05-29,2,2016,体育赛事,2016NBA中国赛北京站,75817,63905,678.74,43374879.7,15138415.17,491157.48,10713583.92,5,0.8429,678.74,0.349,0.247,True
2016-05-30,2,2016,文化活动,2016中国传统文化周,61728,48700,395.77,19273999.0,2411347.26,242451.74,2372858.32,5,0.7889,395.77,0.1251,0.1231,False
2016-06-02,2,2016,体育赛事,2016国际马术大师赛,70319,55608,480.71,26731321.68,3350895.47,263945.64,5372494.3,6,0.7908,480.71,0.1254,0.201,False
2016-06-02,2,2016,展览,2016未来生活体验展,50737,36100,320.27,11561747.0,2026739.84,141841.48,2705061.47,6,0.7115,320.27,0.1753,0.234,False
2016-06-04,2,2016,演唱会,2016Coldplay北京演唱会,82744,81066,1395.04,113090312.64,49956156.59,2062584.44,16143703.91,6,0.9797,1395.04,0.4417,0.1428,True
2016-06-04,2,2016,展览,2016全球创新科技展,37412,25305,346.47,8767423.35,704961.99,101230.61,1379475.76,6,0.6764,346.47,0.0804,0.1573,True
2016-06-09,2,2016,体育赛事,NBA中国赛北京站,103096,88183,500.7,44153228.1,14846441.22,494047.81,10602062.84,6,0.8553,500.7,0.3362,0.2401,False
2016-06-10,2,2016,体育赛事,2016北京马拉松起点仪式,90665,69273,481.16,33331396.68,4959336.55,210156.72,8897405.4,6,0.7641,481.16,0.1488,0.2669,False
2016-06-10,2,2016,体育赛事,2016国际田联钻石联赛,76711,58748,734.12,43128081.76,9314332.16,371191.99,9646800.96,6,0.7658,734.12,0.216,0.2237,False
2016-06-10,2,2016,商业活动,2016行业峰会论坛,10912,8672,2118.8,18374233.6,12706822.53,63527.7,7818092.57,6,0.7947,2118.8,0.6916,0.4255,False
2016-06-13,2,2016,文化活动,鸟巢光影秀,44669,29091,607.04,17659400.64,2042350.74,258870.88,1997918.6,6,0.6513,607.04,0.1157,0.1131,False
2016-06-13,2,2016,商业活动,品牌新品发布会,26056,22231,3181.23,70721924.13,50223184.69,404451.23,29908201.01,6,0.8532,3181.23,0.7102,0.4229,False
2016-06-13,2,2016,展览,2016国际摄影大展,45716,36809,391.22,14400416.98,2905277.95,215642.13,3001310.43,6,0.8052,391.22,0.2017,0.2084,False
2016-06-13,2,2016,文化活动,北京国际电影节开幕式,69985,62309,474.65,29574966.85,5490443.02,395698.93,3768886.47,6,0.8903,474.65,0.1856,0.1274,False
2016-06-14,2,2016,文化活动,世界文化遗产日庆典,46053,37037,771.18,28562193.66,5311986.71,334350.51,4706999.4,6,0.8042,771.18,0.186,0.1648,False
2016-06-15,2,2016,展览,2016中国品牌日展览,51984,34706,153.93,5342294.58,1092413.74,52020.78,1176432.21,6,0.6676,153.93,0.2045,0.2202,False
2016-06-16,2,2016,展览,2016国际汽车展览会,34932,25719,107.78,2771993.82,676277.11,49033.18,602783.19,6,0.7363,107.78,0.244,0.2175,False
2016-06-18,2,2016,演唱会,2016薛之谦天外来物巡演,83664,73860,783.8,57891468.0,18131963.54,1405370.22,5222931.31,6,0.8828,783.8,0.3132,0.0902,True
2016-06-19,2,2016,展览,2016国际航空航天展,32427,27084,144.11,3903075.24,638600.71,47606.87,792356.95,6,0.8352,144.11,0.1636,0.203,True
2016-06-19,2,2016,体育赛事,2016意大利超级杯,80121,56296,821.85,46266867.6,11374085.49,512491.6,11901624.53,6,0.7026,821.85,0.2458,0.2572,True
2016-06-19,2,2016,文化活动,2016世界文化遗产日庆典,73469,51162,706.46,36143906.52,10055215.46,491667.33,6915156.25,6,0.6964,706.46,0.2782,0.1913,True
2016-06-20,2,2016,演唱会,张学友经典世界巡演,67256,57178,1827.88,104514522.64,38349679.65,2012883.31,10718383.84,6,0.8502,1827.88,0.3669,0.1026,False
2016-06-22,2,2016,文化活动,2016冰雪文化节,52822,34487,248.66,8575537.42,1472379.6,97762.71,1157693.34,6,0.6529,248.66,0.1717,0.135,False
2016-06-23,2,2016,演唱会,BLACKPINK世界巡演北京站,57134,55892,1031.08,57629123.36,24745082.55,1217821.21,7835536.17,6,0.9783,1031.08,0.4294,0.136,False
2016-06-23,2,2016,演唱会,2016周杰伦巡回演唱会,50041,44815,840.04,37646392.6,10602184.52,516708.21,5148297.97,6,0.8956,840.04,0.2816,0.1368,False
2016-06-24,2,2016,演唱会,2016Ed Sheeran中国巡演,51714,49982,1821.67,91050709.94,41782174.33,1446328.37,15799135.72,6,0.9665,1821.67,0.4589,0.1735,False
2016-06-24,2,2016,商业活动,2016世界500强企业峰会,13557,12377,805.33,9967569.41,8393422.62,70635.07,3393595.13,6,0.913,805.33,0.8421,0.3405,False
2016-06-25,2,2016,展览,2016国际文创博览会,43468,32387,257.35,8334794.45,1174723.34,105867.11,1806619.03,6,0.7451,257.35,0.1409,0.2168,True
2016-06-26,2,2016,演唱会,2016薛之谦天外来物巡演,56508,55350,2485.94,137596779.0,50071639.69,2867925.14,12001169.17,6,0.9795,2485.94,0.3639,0.0872,True
2016-06-26,2,2016,演唱会,2016周杰伦巡回演唱会,54012,52656,1509.01,79458430.56,41571681.03,1713088.32,12456887.97,6,0.9749,1509.01,0.5232,0.1568,True
2016-06-27,2,2016,体育赛事,2016意大利超级杯,94855,71685,924.66,66284252.1,20841381.74,459866.53,15832162.59,6,0.7557,924.66,0.3144,0.2389,False
2016-06-28,2,2016,文化活动,2016冰雪文化节,43990,37127,440.05,16337736.35,3696480.61,152849.94,2638770.28,6,0.844,440.05,0.2263,0.1615,False
2016-07-01,3,2016,体育赛事,2016全国运动会田径项目,92477,73033,491.55,35899371.15,10113194.89,244364.65,8921370.66,7,0.7897,491.55,0.2817,0.2485,False
2016-07-02,3,2016,演唱会,刘德华My Love巡演,64203,61948,1757.44,108869893.12,38158837.87,2253832.72,10296441.65,7,0.9649,1757.44,0.3505,0.0946,True
2016-07-03,3,2016,商业活动,电商购物节开幕式,10858,8223,3043.31,25025138.13,17226592.13,180702.82,10288685.91,7,0.7573,3043.31,0.6884,0.4111,True
2016-07-04,3,2016,演唱会,2016Coldplay北京演唱会,58394,51389,986.15,50677262.35,18653592.12,726718.82,4502956.45,7,0.88,986.15,0.3681,0.0889,False
2016-07-04,3,2016,演唱会,BLACKPINK世界巡演北京站,59713,58414,2791.07,163037562.98,57684752.67,3311058.0,27193333.4,7,0.9782,2791.07,0.3538,0.1668,False
2016-07-05,3,2016,体育赛事,2016世界斯诺克中国公开赛,83067,53367,475.96,25400557.32,9709617.84,155874.92,4527709.35,7,0.6425,475.96,0.3823,0.1783,False
2016-07-06,3,2016,演唱会,孙燕姿克卜勒巡演,88016,84403,2750.56,232155515.68,103697712.56,4650542.57,38744549.73,7,0.959,2750.56,0.4467,0.1669,False
2016-07-07,3,2016,商业活动,2016互联网大会开幕式,12107,10675,1930.06,20603390.5,11050752.97,129579.39,9269109.88,7,0.8817,1930.06,0.5364,0.4499,False
2016-07-09,3,2016,文化活动,国潮音乐节,68598,57711,835.69,48228505.59,10771830.48,670425.44,6658595.61,7,0.8413,835.69,0.2233,0.1381,True
2016-07-09,3,2016,展览,国际汽车展览会,47235,26060,230.59,6009175.4,685692.74,89865.25,1024639.84,7,0.5517,230.59,0.1141,0.1705,True
2016-07-09,3,2016,体育赛事,2016中国足协杯决赛,95910,57996,821.91,47667492.36,9040680.14,491709.74,10728369.8,7,0.6047,821.91,0.1897,0.2251,True
2016-07-10,3,2016,演唱会,2016Taylor Swift世界巡演北京站,79747,74087,2395.41,177468740.67,95639240.9,4334107.52,14521070.6,7,0.929,2395.41,0.5389,0.0818,True
2016-07-10,3,2016,演唱会,2016Taylor Swift世界巡演北京站,98697,87016,2715.82,236319793.12,86951693.85,3916077.73,21302358.37,7,0.8816,2715.82,0.3679,0.0901,True
2016-07-10,3,2016,体育赛事,国际田联钻石联赛,90383,77455,784.55,60767320.25,13266906.71,608466.5,11600092.53,7,0.857,784.55,0.2183,0.1909,True
2016-07-10,3,2016,体育赛事,2016意大利超级杯,82965,72595,987.83,71711518.85,11319699.85,756832.67,12749179.81,7,0.875,987.83,0.1579,0.1778,True
2016-07-10,3,2016,商业活动,2016互联网大会开幕式,27455,23612,791.09,18679217.08,16034746.8,112225.84,7730165.58,7,0.86,791.09,0.8584,0.4138,True
2016-07-11,3,2016,演唱会,王力宏龙的传人巡演,70760,68479,2405.41,164720071.39,59008806.41,2623461.41,25234424.23,7,0.9678,2405.41,0.3582,0.1532,False
2016-07-12,3,2016,演唱会,Coldplay北京演唱会,64232,61855,1818.43,112478987.65,37749474.74,1806360.04,11588104.61,7,0.963,1818.43,0.3356,0.103,False
2016-07-12,3,2016,演唱会,张杰未LIVE巡演,72327,67067,1865.61,125120865.87,51745119.93,2632152.54,15068540.7,7,0.9273,1865.61,0.4136,0.1204,False
2016-07-12,3,2016,体育赛事,2016NFL中国赛,78637,55765,1002.59,55909431.35,13522910.12,633938.79,14865949.3,7,0.7091,1002.59,0.2419,0.2659,False
2016-07-14,3,2016,体育赛事,中国足协杯决赛,92306,57434,768.87,44159279.58,7977996.67,293040.3,10200872.5,7,0.6222,768.87,0.1807,0.231,False
2016-07-15,3,2016,体育赛事,国际足球友谊赛,80109,57767,647.1,37381025.7,12647887.56,274189.33,8861966.53,7,0.7211,647.1,0.3384,0.2371,False
2016-07-15,3,2016,演唱会,陈奕迅Fear and Dreams,87880,76993,1942.8,149582000.4,44137664.25,3265393.51,17165604.42,7,0.8761,1942.8,0.2951,0.1148,False
2016-07-16,3,2016,体育赛事,NBA中国赛北京站,107708,91115,554.05,50482265.75,10886852.99,343245.63,13538601.5,7,0.8459,554.05,0.2157,0.2682,True
2016-07-16,3,2016,展览,2016当代艺术大展,56499,43087,118.1,5088574.7,494700.49,59034.41,668605.93,7,0.7626,118.1,0.0972,0.1314,True
2016-07-16,3,2016,商业活动,2016电商购物节开幕式,27957,22531,3712.76,83652195.56,54561013.18,579825.14,30526148.1,7,0.8059,3712.76,0.6522,0.3649,True
2016-07-17,3,2016,体育赛事,中国足协杯决赛,110943,80078,1048.82,83987407.96,31800421.69,884405.3,16436492.87,7,0.7218,1048.82,0.3786,0.1957,True
2016-07-21,3,2016,商业活动,2016科技产品首发仪式,9945,9173,3648.96,33471910.08,21505154.05,228413.95,9538414.08,7,0.9224,3648.96,0.6425,0.285,False
2016-07-22,3,2016,演唱会,林俊杰圣所演唱会,53342,46278,2787.12,128982339.36,67716232.11,2272987.72,14340464.58,7,0.8676,2787.12,0.525,0.1112,False
2016-07-23,3,2016,演唱会,薛之谦天外来物巡演,52919,49126,1604.84,78839369.84,30627521.13,1142632.54,7976615.43,7,0.9283,1604.84,0.3885,0.1012,True
2016-07-24,3,2016,演唱会,BLACKPINK世界巡演北京站,55880,53183,1408.41,74903469.03,26888885.43,1500666.42,10735087.48,7,0.9517,1408.41,0.359,0.1433,True
2016-07-24,3,2016,演唱会,2016陈奕迅Fear and Dreams,67925,63245,1925.43,121773820.35,36930997.4,2864833.22,15219105.13,7,0.9311,1925.43,0.3033,0.125,True
2016-07-28,3,2016,体育赛事,2016国际马术大师赛,109850,86373,895.16,77317654.68,14849585.2,561674.32,21273605.13,7,0.7863,895.16,0.1921,0.2751,False
2016-07-28,3,2016,文化活动,2016非遗文化展示周,82660,63810,305.33,19483107.3,3811979.31,264954.94,2177625.14,7,0.772,305.33,0.1957,0.1118,False
2016-07-28,3,2016,体育赛事,2016世界田径锦标赛,87812,71000,996.34,70740140.0,22935266.93,548006.61,20757514.75,7,0.8085,996.34,0.3242,0.2934,False
2016-07-31,3,2016,演唱会,Coldplay北京演唱会,98891,89990,2143.11,192858468.9,104381500.76,3910534.45,27268906.63,7,0.91,2143.11,0.5412,0.1414,True
2016-07-31,3,2016,演唱会,刘德华My Love巡演,90346,82810,2228.13,184511445.3,40842378.62,3932345.57,16090954.13,7,0.9166,2228.13,0.2214,0.0872,True
2016-07-31,3,2016,演唱会,2016Ed Sheeran中国巡演,90350,80946,1469.95,118986572.7,50339467.03,2450863.76,11722504.41,7,0.8959,1469.95,0.4231,0.0985,True
2016-08-03,3,2016,演唱会,2016Taylor Swift世界巡演北京站,64772,61533,2036.86,125334106.38,38947299.77,1701789.43,17734938.59,8,0.95,2036.86,0.3107,0.1415,False
2016-08-03,3,2016,展览,2016全球创新科技展,42934,35151,220.83,7762395.33,669499.04,70944.93,1421931.22,8,0.8187,220.83,0.0862,0.1832,False
2016-08-04,3,2016,演唱会,2016王力宏龙的传人巡演,96404,84758,1557.12,131978376.96,49161707.36,2635372.55,23004832.0,8,0.8792,1557.12,0.3725,0.1743,False
2016-08-04,3,2016,演唱会,毛不易小王巡演,94346,88114,1393.22,122762187.08,71080094.87,2824105.62,21101918.07,8,0.9339,1393.22,0.579,0.1719,False
2016-08-06,3,2016,展览,数字艺术沉浸展,27019,17454,382.45,6675282.3,735221.79,101994.79,894706.0,8,0.646,382.45,0.1101,0.134,True
2016-08-06,3,2016,文化活动,2016国庆文艺汇演,46841,36370,750.44,27293502.8,6519589.5,308774.92,4394343.08,8,0.7765,750.44,0.2389,0.161,True
2016-08-08,3,2016,展览,2016全球创新科技展,31002,21343,103.5,2209000.5,260800.29,39581.09,293561.04,8,0.6884,103.5,0.1181,0.1329,False
2016-08-10,3,2016,文化活动,2016央视春晚分会场,67594,50277,561.68,28239585.36,6660418.22,382919.62,5645704.68,8,0.7438,561.68,0.2359,0.1999,False
2016-08-12,3,2016,展览,2016数字艺术沉浸展,43826,25744,244.52,6294922.88,1169087.24,64032.53,868176.73,8,0.5874,244.52,0.1857,0.1379,False
2016-08-12,3,2016,文化活动,2016北京国际电影节开幕式,37640,30296,447.18,13547765.28,2536675.4,153006.03,2136709.47,8,0.8049,447.18,0.1872,0.1577,False
2016-08-13,3,2016,文化活动,2016央视春晚分会场,39810,30719,599.61,18419419.59,2818632.85,163913.9,3248796.56,8,0.7716,599.61,0.153,0.1764,True
